City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
390,Waipawa,NZ,65.7,clear sky,-41.4122,175.5153,Tora Coastal Walk
391,Cuenca,EC,71.73,broken clouds,-2.8833,-78.9833,Hotel Cuenca
393,Umm Lajj,SA,77.67,clear sky,25.0213,37.2685,Moon light Furnished Units
396,Berbera,SO,78.3,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
403,Harper,LR,77.95,light rain,4.375,-7.7169,Screensaver
404,Turiacu,BR,79.3,few clouds,-1.6633,-45.3717,Pousada Maranata
405,Vao,NC,74.57,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
414,Fukue,JP,59.47,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
421,Ahipara,NZ,65.34,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
422,Jalu,LY,61.32,clear sky,29.0331,21.5482,صاحبة الفخامة
425,Gat,IL,66.07,few clouds,31.61,34.7642,OlusHome
426,Minab,IR,79.12,clear sky,27.1467,57.0801,Bam campground
427,North Myrtle Beach,US,67.08,overcast clouds,33.816,-78.68,Avista Resort
431,Ambilobe,MG,74.71,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
438,Vaitape,PF,78.39,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
439,Adrar,MR,74.1,clear sky,20.5022,-10.0711,None
446,Morondava,MG,77.92,moderate rain,-20.2833,44.2833,La Case Bambou
448,Medeiros Neto,BR,78.28,overcast clouds,-17.3739,-40.2206,Pousada & Restaurante Visgueira
454,Touros,BR,78.42,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
455,Merauke,ID,78.48,overcast clouds,-8.4667,140.3333,None
457,Quatre Cocos,MU,71.71,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
458,Kokstad,ZA,59.56,overcast clouds,-30.5472,29.4241,Majestic Bed and Breakfast
460,Rosarito,MX,75.42,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
462,Jiangkou,CN,64.92,overcast clouds,25.4872,119.1986,DFM Hotel
464,Anuradhapura,LK,72.0,overcast clouds,8.3565,80.4173,Nilketha Villa Eco Hotel
465,Mao,ES,68.56,few clouds,39.8885,4.2658,ARTIEM Capri
468,Horizontina,BR,73.99,clear sky,-27.6258,-54.3078,Hotel Avenida
471,Tlacotepec,MX,59.49,light rain,20.0667,-97.8667,RANCHO LA ILUSION
475,San Pedro,PH,77.32,few clouds,14.35,121.0167,Palines Apartment and Guesthouse
477,Kaabong,UG,68.0,broken clouds,3.4836,34.1492,Madona Guest House Kaabong
479,Te Anau,NZ,59.77,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
482,Hualmay,PE,68.4,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
483,Naze,JP,65.32,overcast clouds,28.3667,129.4833,Shishime Hotel
485,Sri Aman,MY,75.25,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
487,Lindi,TZ,74.75,few clouds,-10.0,39.7167,Lindi paradise house
488,Ngunguru,NZ,64.13,scattered clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
489,Waddan,LY,64.17,clear sky,29.1614,16.139,محل الشريف محمد العايب
491,Turayf,SA,59.25,clear sky,31.6725,38.6637,Turaif
493,Kanigiri,IN,71.02,clear sky,15.4,79.5167,COMFORT INN
495,Nicoya,CR,79.65,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
496,Fochville,ZA,67.08,scattered clouds,-26.4886,27.4939,Eden Vreugd Guesthouse
497,San Antonio,US,59.52,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
500,Gold Coast,AU,73.99,clear sky,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
502,Kainantu,PG,62.65,overcast clouds,-6.2887,145.8655,Sylvester buku
506,Aripuana,BR,74.7,overcast clouds,-9.1667,-60.6333,None
508,Vieste,IT,61.21,overcast clouds,41.8825,16.175,Hotel Falcone
510,Salalah,OM,74.73,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
523,Kasongo-Lunda,CD,73.13,overcast clouds,-6.4667,16.8167,None
524,Noumea,NC,78.01,clear sky,-22.2763,166.4572,Hôtel Le Lagon
531,Kisangani,CD,70.29,overcast clouds,0.5167,25.2,Grand Ramela Hotel
533,Kalengwa,ZM,65.86,overcast clouds,-13.4659,25.0027,None
534,Nsanje,MW,72.97,clear sky,-16.92,35.262,Nsanje Discovery Lodge
535,Lucapa,AO,66.09,light rain,-8.4192,20.7447,Lírio Mendes
536,Solwezi,ZM,61.25,overcast clouds,-12.1688,26.3894,Country Lodge Solwezi
538,Marsaxlokk,MT,70.09,clear sky,35.8419,14.5431,Water's Edge
541,Robertsport,LR,78.98,light rain,6.7533,-11.3686,Kwepunha Retreat
542,Poum,NC,77.13,clear sky,-20.2333,164.0167,None
544,Kalabo,ZM,73.47,broken clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
545,Kutum,SD,64.65,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
549,Valdivia,CL,63.57,broken clouds,-39.8142,-73.2459,Hostal Entre Rios
554,Swellendam,ZA,63.55,few clouds,-34.0226,20.4417,De Kloof Heritage Estate boutique Hotel & SPA
556,Praia Da Vitoria,PT,66.45,scattered clouds,38.7333,-27.0667,Hotel Branco I
558,Nyaunglebin,MM,71.58,scattered clouds,17.95,96.7333,Thi ha
560,Sola,VU,77.67,clear sky,-13.8833,167.55,Leumerus Bungalows
561,Muisne,EC,76.17,broken clouds,0.6,-80.0333,Quinta Samay
569,Christchurch,NZ,67.95,overcast clouds,-43.5333,172.6333,The George
570,Chililabombwe,ZM,64.24,overcast clouds,-12.3648,27.8229,Tabernacle Guest Lodge and Events (Under new management!)
572,Sungai Padi,TH,76.78,overcast clouds,6.0851,101.8766,บ้าน​ลูกบอลกับลูกบาส
573,Marzuq,YE,63.45,clear sky,14.4,46.4667,حيد القفلة
578,Amapa,BR,79.81,overcast clouds,1.0,-52.0,None
581,Charters Towers,AU,79.56,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
582,Kuching,MY,76.12,light rain,1.55,110.3333,Hilton Kuching
585,Oum Hadjer,TD,77.95,clear sky,13.2954,19.6966,None
587,Mathathane,BW,75.88,clear sky,-22.2687,28.7495,Selepswe Resort
590,Redlands,US,72.72,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
592,Caravelas,BR,76.98,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
595,Puri,IN,63.12,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
596,Banda Aceh,ID,78.93,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
598,Taltal,CL,64.6,scattered clouds,-25.4,-70.4833,Residencial Karime
599,Turbat,PK,74.59,clear sky,26.0023,63.044,Mubashar Quarters
602,Ximei,CN,65.61,overcast clouds,24.9639,118.3794,Nan'an Hotel
603,Aitape,PG,76.23,broken clouds,-3.1374,142.3475,None
608,Vangaindrano,MG,71.73,light rain,-23.35,47.6,Hotel Fanilo
614,Frankfort,ZA,60.17,clear sky,-27.2667,28.4833,Formule 11 Accomodation
618,Yambio,SS,70.09,broken clouds,4.5721,28.3955,Naivasha Hotel
619,Methoni,GR,62.22,overcast clouds,36.8197,21.7049,Methoni Beach Hotel
620,Impfondo,CG,72.01,light rain,1.6381,18.0667,Auberge La Place de Jules
622,Grand Gaube,MU,72.0,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
623,Kuliyapitiya,LK,76.68,overcast clouds,7.4688,80.0401,Rest House
626,Mailsi,PK,62.17,clear sky,29.8003,72.1758,Mian Lodge
628,Alibag,IN,78.87,clear sky,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
633,Atambua,ID,75.79,overcast clouds,-9.1061,124.8925,Ros Muskanan
635,Abu Kamal,SY,64.85,clear sky,34.4506,40.9171,محطة التلفاز
637,Aguimes,ES,70.43,clear sky,27.9054,-15.4461,Hotel Villa de Aguimes
640,Quelimane,MZ,76.95,few clouds,-17.8786,36.8883,Hotel Flamingo
641,Padang,ID,75.33,overcast clouds,-0.9492,100.3543,Mercure Padang
645,Paraiso,CR,73.31,overcast clouds,9.8383,-83.8656,Hotel Rinconcito Verde
649,Gagnoa,CI,72.16,broken clouds,6.1293,-5.9437,Residence Kiliyo
650,Sampit,ID,72.73,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
653,Praya,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
658,Buloh Kasap,MY,74.79,overcast clouds,2.5536,102.764,Teratak Ixora Segamat
659,Maxixe,MZ,67.82,clear sky,-23.8597,35.3472,Oceano
660,Bilma,NE,69.87,few clouds,18.6853,12.9164,Expeditions Ténére voyages
665,Port Moresby,PG,76.42,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
667,Hervey Bay,AU,72.72,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
668,Inverell,AU,61.66,clear sky,-29.7833,151.1167,Sapphire City Motor Inn
671,Riyadh,SA,71.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
673,Tessalit,ML,74.79,overcast clouds,20.1986,1.0114,None
675,Mudkhed,IN,62.76,clear sky,19.1667,77.5167,Aasifshah Tea Hotel
