City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
138,Airai,TL,-8.9266,125.4092,61.16,88,81,1.81,broken clouds
139,Mazagao,BR,-0.115,-51.2894,89.65,66,96,6.24,overcast clouds
140,San Cristobal,VE,7.7669,-72.225,78.98,68,84,4.25,broken clouds
141,Jamestown,US,42.097,-79.2353,36.99,72,100,8.05,snow
142,Ban Nahin,LA,18.2418,104.2122,72.99,88,33,3.0,scattered clouds
143,Altay,CN,47.8667,88.1167,31.89,82,100,3.78,light snow
144,Sao Filipe,CV,14.8961,-24.4956,75.96,72,67,6.69,broken clouds
145,Pevek,RU,69.7008,170.3133,-6.52,93,100,1.59,overcast clouds
146,Sisimiut,GL,66.9395,-53.6735,19.02,91,100,8.9,overcast clouds
147,Alofi,NU,-19.0595,-169.9187,82.29,78,75,9.22,broken clouds
148,Mahon,ES,39.8885,4.2658,68.56,83,20,17.27,few clouds
149,Olafsvik,IS,64.8945,-23.7142,43.3,89,100,13.44,light rain
150,Hasaki,JP,35.7333,140.8333,48.22,79,25,9.91,scattered clouds
151,Lunca,RO,43.8333,24.7667,45.28,76,80,0.6,broken clouds
152,Paamiut,GL,61.994,-49.6678,19.51,79,100,7.16,overcast clouds
153,Farah,AF,32.5,62.5,51.76,29,1,1.88,clear sky
154,Byron Bay,AU,-28.65,153.6167,66.94,52,0,7.47,clear sky
155,Janow Lubelski,PL,50.707,22.4104,43.23,80,99,2.98,overcast clouds
156,Ancud,CL,-41.8697,-73.8203,54.34,98,100,11.99,light rain
157,Dunedin,NZ,-45.8742,170.5036,61.81,97,100,1.99,overcast clouds
158,Zaozerne,UA,45.1582,33.2787,50.18,76,96,5.17,overcast clouds
159,Natal,BR,-5.795,-35.2094,81.25,69,20,13.8,few clouds
160,Bambanglipuro,ID,-7.95,110.2833,74.98,98,100,7.02,overcast clouds
161,Panaba,MX,21.2833,-88.2667,90.63,45,4,12.46,clear sky
162,Cherskiy,RU,68.75,161.3,-23.64,99,67,5.41,broken clouds
163,Ola,RU,59.5833,151.2833,1.08,75,0,7.61,clear sky
164,Kirakira,SB,-10.4544,161.9205,82.9,74,40,3.09,scattered clouds
165,Primorsko-Akhtarsk,RU,46.0497,38.1747,38.35,63,8,8.37,clear sky
166,Manggar,ID,-2.8833,108.2667,79.2,86,100,5.88,overcast clouds
167,Agadir,MA,30.4202,-9.5982,72.05,37,22,1.83,few clouds
168,Richards Bay,ZA,-28.783,32.0377,68.32,79,27,10.38,scattered clouds
169,Nieuw Amsterdam,SR,5.8833,-55.0833,91.56,71,40,6.91,scattered clouds
170,Lompoc,US,34.6391,-120.4579,70.02,60,0,10.36,clear sky
171,Sao Felix Do Xingu,BR,-6.6447,-51.995,75.49,94,100,1.54,moderate rain
172,Coquimbo,CL,-29.9533,-71.3436,69.53,60,40,10.36,scattered clouds
173,Constitucion,CL,-35.3333,-72.4167,65.53,64,7,16.96,clear sky
174,Beringovskiy,RU,63.05,179.3167,38.1,95,100,28.5,moderate rain
175,East London,ZA,-33.0153,27.9116,68.2,75,100,19.53,overcast clouds
176,Malindi,KE,-3.2175,40.1191,76.95,88,13,9.44,moderate rain
177,Los Llanos De Aridane,ES,28.6585,-17.9182,73.13,33,0,5.75,clear sky
178,Oleksandrivka,UA,48.9634,32.2349,39.16,87,24,11.14,few clouds
179,Morris,US,40.8334,-74.5329,41.95,59,75,5.01,broken clouds
180,Shingu,JP,33.7333,135.9833,50.4,68,0,7.23,clear sky
181,Kenai,US,60.5544,-151.2583,33.15,99,0,4.61,clear sky
182,Acarau,BR,-2.8856,-40.12,79.34,69,22,17.13,few clouds
183,Cairns,AU,-16.9167,145.7667,79.07,86,100,6.91,overcast clouds
184,Guerrero Negro,MX,27.9769,-114.0611,73.45,25,17,5.61,few clouds
185,Rawson,AR,-43.3002,-65.1023,79.18,31,2,10.4,clear sky
186,West Wendover,US,40.7391,-114.0733,36.61,52,0,4.61,clear sky
187,Kedrovyy,RU,56.1667,91.8167,34.21,93,87,8.79,light snow
188,Yellowknife,CA,62.456,-114.3525,23.52,80,100,18.41,light snow
189,Zyryanka,RU,65.75,150.85,-16.11,95,100,13.44,overcast clouds
190,Khed Brahma,IN,24.0333,73.05,68.36,42,0,5.7,clear sky
191,Paita,PE,-5.0892,-81.1144,65.34,79,100,16.4,overcast clouds
192,Souillac,MU,-20.5167,57.5167,71.98,60,40,8.05,scattered clouds
193,Menongue,AO,-14.6585,17.691,69.28,61,74,6.26,broken clouds
194,Mehamn,NO,71.0357,27.8492,40.91,87,75,17.27,broken clouds
195,Avera,US,33.194,-82.5271,62.11,89,96,3.96,overcast clouds
196,Husavik,IS,66.0449,-17.3389,44.28,90,100,9.31,overcast clouds
197,Virginia Beach,US,36.8529,-75.978,61.05,88,100,9.22,overcast clouds
198,Ilulissat,GL,69.2167,-51.1,23.02,93,75,4.61,light snow
199,Bridlington,GB,54.0831,-0.1919,51.03,92,99,5.01,overcast clouds
200,Mayumba,GA,-3.432,10.6554,77.77,79,86,7.83,overcast clouds
201,Burla,IN,21.5,83.8667,62.37,56,0,0.49,clear sky
202,Puerto Escondido,MX,15.85,-97.0667,84.79,68,12,5.66,few clouds
203,North Little Rock,US,34.7695,-92.2671,48.16,67,100,12.66,overcast clouds
204,Punta Alta,AR,-38.8759,-62.0736,78.39,37,0,6.91,clear sky
205,Hachinohe,JP,40.5,141.5,40.77,84,42,5.26,scattered clouds
206,Muros,ES,42.7762,-9.0603,58.08,90,100,15.99,overcast clouds
207,Zhangjiakou,CN,40.81,114.8794,34.02,55,10,0.16,clear sky
208,Falun,SE,60.6036,15.626,39.61,84,100,9.04,overcast clouds
209,Loiza,PR,18.4313,-65.8802,84.16,83,40,11.5,scattered clouds
210,Dhidhdhoo,MV,6.8833,73.1,80.98,78,98,8.41,overcast clouds
211,Juneau,US,58.3019,-134.4197,43.11,97,100,0.0,light rain
212,Torbay,CA,47.6666,-52.7314,36.88,80,75,16.11,broken clouds
213,Singaraja,ID,-8.112,115.0882,79.12,86,91,1.48,overcast clouds
214,Kaberamaido,UG,1.7389,33.1594,68.05,86,100,2.86,light rain
215,Windsor,CA,42.3001,-83.0165,39.52,88,100,9.22,moderate rain
216,Kurilsk,RU,45.2333,147.8833,39.58,92,100,4.79,overcast clouds
217,Yulara,AU,-25.2406,130.9889,67.89,57,100,12.93,light rain
218,Honiara,SB,-9.4333,159.95,81.91,79,47,0.83,scattered clouds
219,Tuatapere,NZ,-46.1333,167.6833,65.48,58,91,2.48,overcast clouds
220,Bom Jesus Da Lapa,BR,-13.255,-43.4181,79.7,62,75,4.99,broken clouds
221,Egvekinot,RU,66.3167,-179.1667,24.57,97,100,21.47,snow
222,Matara,LK,5.9485,80.5353,75.74,90,100,2.06,moderate rain
223,Sibolga,ID,1.7427,98.7792,74.26,93,100,1.97,light rain
224,Tornio,FI,65.8481,24.1466,21.22,70,69,3.78,broken clouds
225,Beyla,GN,8.6833,-8.6333,72.59,73,100,2.55,overcast clouds
226,Katsuura,JP,35.1333,140.3,54.79,81,2,9.13,clear sky
227,Vanimo,PG,-2.6741,141.3028,76.32,89,97,4.65,overcast clouds
228,El Alto,PE,-4.2714,-81.2147,69.46,75,99,13.56,overcast clouds
229,Umm Kaddadah,SD,13.6017,26.6876,71.49,20,4,13.13,clear sky
230,Salinas,US,36.6777,-121.6555,68.95,48,0,8.05,clear sky
231,Beloha,MG,-25.1667,45.05,73.89,79,99,3.62,overcast clouds
232,Xining,CN,36.6167,101.7667,31.96,64,1,1.81,clear sky
233,Porbandar,IN,21.6422,69.6093,77.85,68,0,8.25,clear sky
234,Ajdabiya,LY,30.7554,20.2263,64.85,72,0,4.05,clear sky
235,Turukhansk,RU,65.8167,87.9833,-19.89,89,10,5.7,clear sky
236,Luderitz,NA,-26.6481,15.1594,59.27,82,5,10.22,clear sky
237,Kandrian,PG,-6.2167,149.55,78.8,85,83,5.44,broken clouds
238,Chokurdakh,RU,70.6333,147.9167,-35.61,100,51,1.43,broken clouds
239,Porto Walter,BR,-8.2686,-72.7439,91.65,46,100,1.81,light rain
240,Warrington,GB,53.3925,-2.5802,48.45,93,0,2.3,heavy intensity rain
241,Mutata,CO,7.2441,-76.4356,80.29,92,100,1.7,overcast clouds
242,Faanui,PF,-16.4833,-151.75,78.46,77,98,1.36,light rain
243,Vestmannaeyjar,IS,63.4427,-20.2734,47.08,83,100,21.7,overcast clouds
244,Kahului,US,20.8947,-156.47,78.96,82,75,12.66,broken clouds
245,Pisco,PE,-13.7,-76.2167,73.45,56,0,21.85,clear sky
246,Lovington,US,32.944,-103.3485,47.32,34,100,1.99,overcast clouds
247,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,84,20,6.91,few clouds
248,Faya,SA,18.3851,42.4509,59.11,81,23,4.0,few clouds
249,Acapulco,MX,16.8634,-99.8901,85.82,66,0,11.5,clear sky
250,Washington,US,47.5001,-120.5015,45.19,66,16,2.73,few clouds
251,Rongcheng,CN,30.634,117.8517,48.31,86,84,3.62,broken clouds
252,Iberia,US,29.9502,-91.7507,51.87,66,100,18.41,overcast clouds
253,Majenang,ID,-7.2975,108.7642,74.43,98,100,1.86,overcast clouds
254,Stawell,AU,-37.05,142.7667,44.22,77,82,6.29,broken clouds
255,Narsaq,GL,60.9167,-46.05,30.42,96,100,3.74,light snow
256,Kupang,ID,-10.1667,123.5833,79.43,86,99,3.78,overcast clouds
257,Griffin,US,33.2468,-84.2641,53.26,95,100,6.91,light intensity drizzle
258,Salta,AR,-24.7859,-65.4117,86.59,33,20,14.97,few clouds
259,Emerald,AU,-23.5333,148.1667,72.34,46,68,18.45,broken clouds
260,Traverse City,US,44.7631,-85.6206,34.84,98,100,1.99,overcast clouds
261,Beaufort,MY,5.3473,115.7455,74.21,96,100,2.26,heavy intensity rain
262,Jijiga,ET,9.35,42.8,57.74,38,1,6.38,clear sky
263,Liberal,US,37.0431,-100.921,37.54,60,0,14.97,clear sky
264,Birao,CF,10.2849,22.7882,73.27,27,85,5.23,overcast clouds
265,Burns Lake,CA,54.2331,-125.7533,24.22,75,95,0.74,overcast clouds
266,Along,IN,28.1667,94.7667,54.37,78,16,1.83,few clouds
267,Rio Negrinho,BR,-26.2544,-49.5183,72.95,59,0,2.08,clear sky
268,Alto Piquiri,BR,-24.0281,-53.4406,70.63,63,0,7.65,clear sky
269,Lorengau,PG,-2.0226,147.2712,81.32,75,97,1.77,overcast clouds
270,Hamilton,US,39.1834,-84.5333,42.76,86,100,3.44,mist
271,Dingle,PH,10.9995,122.6711,75.56,93,63,6.26,broken clouds
272,Petilia Policastro,IT,39.1139,16.7855,55.99,51,63,6.06,broken clouds
273,Kyshtovka,RU,56.555,76.6271,28.33,95,100,9.4,overcast clouds
274,Lolodorf,CM,3.2333,10.7333,70.83,98,94,1.97,overcast clouds
275,Port Hedland,AU,-20.3167,118.5667,73.45,100,75,3.44,moderate rain
276,Tarnogskiy Gorodok,RU,60.4997,43.5761,20.34,73,96,2.66,overcast clouds
277,Estevan,CA,49.1334,-102.9842,11.21,85,40,4.61,scattered clouds
278,Saint-Augustin,CA,51.226,-58.6502,23.32,81,94,7.16,overcast clouds
279,Danielskuil,ZA,-28.1887,23.5395,72.0,41,83,16.73,broken clouds
280,The Valley,AI,18.217,-63.0578,84.06,78,20,14.97,few clouds
281,Rio Gallegos,AR,-51.6226,-69.2181,71.65,15,40,24.16,scattered clouds
282,Sandnessjoen,NO,66.0217,12.6316,41.41,58,0,6.91,clear sky
283,Bone,DE,51.9669,12.1396,48.88,83,98,7.45,overcast clouds
284,Iringa,TZ,-7.7667,35.7,65.32,48,8,8.93,clear sky
285,Berdigestyakh,RU,62.0989,126.6992,-38.18,100,100,1.16,overcast clouds
286,Weligama,LK,5.9667,80.4167,75.6,89,100,2.08,moderate rain
287,Medowie,AU,-32.7333,151.8667,61.83,57,0,8.05,clear sky
288,Dalmatovo,RU,56.26,62.9362,10.4,91,100,12.39,overcast clouds
289,Bafoulabe,ML,13.8065,-10.8321,83.35,49,100,1.86,overcast clouds
290,Asyut,EG,27.181,31.1837,62.78,40,0,8.41,clear sky
291,Taua,BR,-5.9667,-40.3,86.09,37,21,5.91,few clouds
292,Soma,TR,39.1855,27.6094,47.8,83,1,2.8,clear sky
293,Atlantic City,US,39.3643,-74.4229,53.98,67,100,8.01,overcast clouds
294,Tyrma,RU,50.0833,132.1667,11.25,97,100,0.96,light snow
295,Rumonge,BI,-3.9736,29.4386,70.32,83,98,3.33,overcast clouds
296,Boa Vista,BR,2.8197,-60.6733,89.58,55,40,8.05,scattered clouds
297,Fernandina Beach,US,30.6697,-81.4626,80.69,71,0,9.22,clear sky
298,Sept-Iles,CA,50.2001,-66.3821,26.6,71,75,8.05,broken clouds
299,Halkirk,CA,52.2834,-112.1518,35.17,84,53,16.93,broken clouds
300,Deputatskiy,RU,69.3,139.9,-31.81,99,17,4.23,few clouds
301,Aklavik,CA,68.2191,-135.0107,3.33,94,34,7.76,scattered clouds
302,Fortuna,US,40.5982,-124.1573,60.93,66,0,3.44,clear sky
303,Kropotkin,RU,45.4375,40.5756,35.33,60,0,6.98,clear sky
304,Selma,US,36.5708,-119.6121,63.34,50,0,3.44,clear sky
305,Bayan,CN,46.0833,127.4,23.05,85,100,6.4,overcast clouds
306,Ornskoldsvik,SE,63.2909,18.7153,23.95,100,11,3.44,few clouds
307,Mount Isa,AU,-20.7333,139.5,73.17,25,55,14.97,broken clouds
308,Kargopol,RU,61.5071,38.9456,27.77,97,98,2.68,light snow
309,Hobyo,SO,5.3505,48.5268,80.02,76,36,11.86,scattered clouds
310,Ust-Omchug,RU,61.15,149.6333,-24.18,96,65,2.89,broken clouds
311,Rawlins,US,41.7911,-107.2387,24.69,58,75,13.8,broken clouds
312,La Tuque,CA,47.4334,-72.7824,28.65,64,100,3.44,overcast clouds
313,Pitimbu,BR,-7.4706,-34.8086,81.19,78,54,9.95,broken clouds
314,Fernley,US,39.608,-119.2518,47.05,37,0,3.0,clear sky
315,Swift Current,CA,50.2834,-107.8014,25.61,93,0,9.22,clear sky
316,Puksoozero,RU,62.5903,40.6066,26.13,91,95,1.77,overcast clouds
317,Bandarbeyla,SO,9.4942,50.8122,78.96,74,11,16.28,few clouds
318,Coihaique,CL,-45.5752,-72.0662,61.41,44,40,10.36,scattered clouds
319,Iqaluit,CA,63.7506,-68.5145,1.13,77,20,16.11,few clouds
320,Tabou,CI,4.423,-7.3528,78.01,83,4,4.81,light rain
321,Chernyshevskiy,RU,63.0128,112.4714,-16.74,93,100,6.67,overcast clouds
322,Fort Nelson,CA,58.8053,-122.7002,36.95,69,75,0.0,broken clouds
323,Ngong,KE,-1.3618,36.6566,61.77,84,76,8.61,light rain
324,Praia,CV,14.9215,-23.5087,75.74,73,75,17.27,broken clouds
325,Karratha,AU,-20.7377,116.8463,73.81,72,12,5.35,few clouds
326,Santa Rosalia,MX,27.3167,-112.2833,69.33,46,88,9.48,overcast clouds
327,Saskylakh,RU,71.9167,114.0833,-11.97,97,100,6.82,overcast clouds
328,Ginda,IN,30.6945,78.4932,44.89,42,1,7.49,clear sky
329,Provideniya,RU,64.3833,-173.3,32.11,80,100,33.55,overcast clouds
330,Haines Junction,CA,60.7522,-137.5108,31.95,80,100,3.44,overcast clouds
331,Benguela,AO,-12.5763,13.4055,73.69,73,84,3.89,broken clouds
332,Andenes,NO,69.3143,16.1194,31.98,86,0,10.36,clear sky
333,Vagay,RU,57.9375,69.0217,7.34,91,100,7.9,overcast clouds
334,Pangnirtung,CA,66.1451,-65.7125,0.16,94,99,2.48,overcast clouds
335,Asau,RO,46.4333,26.4,36.52,63,44,5.32,scattered clouds
336,Capaccio,IT,40.4244,15.0809,56.07,79,91,4.21,overcast clouds
337,Gramsh,AL,40.8697,20.1844,54.97,91,78,1.39,broken clouds
338,Clarksdale,US,34.2001,-90.5709,46.38,71,100,13.8,overcast clouds
339,Jataizinho,BR,-23.2542,-50.98,86.58,26,0,12.66,clear sky
340,College,US,64.8569,-147.8028,17.55,90,100,5.75,overcast clouds
341,High Level,CA,58.5169,-117.136,35.71,80,75,12.66,smoke
342,Mezotur,HU,47.0,20.6333,47.98,92,81,4.43,broken clouds
343,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,64,75,4.47,broken clouds
344,Kota Kinabalu,MY,5.9749,116.0724,75.18,94,20,3.44,few clouds
345,Houma,US,29.5958,-90.7195,57.2,86,100,17.27,overcast clouds
346,Alekseyevka,RU,50.6309,38.6903,31.42,60,100,8.75,overcast clouds
347,Buraydah,SA,26.326,43.975,73.85,24,0,11.68,clear sky
348,Sioux Lookout,CA,50.1001,-91.917,24.87,80,100,6.91,light snow
349,Lamu,KE,-2.2717,40.902,79.02,83,64,9.98,light rain
350,Komsomolskiy,UZ,40.4272,71.7189,47.12,71,40,4.61,scattered clouds
351,Alcanede,PT,39.415,-8.8219,62.65,94,100,4.29,overcast clouds
